Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
China,19-11-2020 00:00,H.E. Xi Jinping,Fostering a New Development Paradigm and Pursuing Mutual Benefit and Win-win Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1833641.shtml,OPTIMISM,DEVELOPMENT
USA,28-01-2013,Barack Obama,"
Remarks by the President Before Meeting with Law Enforcement Officials",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/01/28/remarks-president-meeting-law-enforcement-officials,OPTIMISM,OTHERS
Russia,07-02-2005 00:00,Vladimir Putin,Introductory Remarks at a Session of the State Council,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23072,NEUTRAL,OTHERS
USA,14-08-2021 00:00,Joe Biden,Statement by President Joe Biden on Afghanistan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/14/statement-by-president-joe-biden-on-afghanistan/,UPSET,INTERNATIONAL AFFAIRS
USA,20-11-2014,Barack Obama,"
Remarks by the President in Address to the Nation on Immigration",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/20/remarks-president-address-nation-immigration,NEUTRAL,OTHERS
Russia,08-08-2009 00:00,Dmitry Medvedev,Speech at Ceremony Honouring Russian Servicemen,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/5146,UPSET,OTHERS
Russia,17-08-2008,Dmitry Medvedev,Opening Address at a Meeting of the State Council Presidium entitled “On the Implementation of a Strategy for the Development of the Information Society in the Russian Federation”,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/819,OPTIMISM,DEVELOPMENT
Russia,19-01-2010,Dmitry Medvedev,Speech at Meeting of Council for Implementation of Priority National Projects and Demographic Policy,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/6661,OPTIMISM,DEVELOPMENT
USA,25-11-2015,Barack Obama,"
Weekly Address: This Thanksgiving, Recognizing the Greatness of American Generosity",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/11/26/weekly-address-thanksgiving-recognizing-greatness-american-generosity,JOY,OTHERS
Russia,19-03-2004,Vladimir Putin,Speech at a Joint Meeting of the Finance Ministry and Economic Development and Trade Ministry Boards,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22388,NEUTRAL,DEVELOPMENT
United Kingdom,11-Oct-10,David Cameron,PM press conference,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pm-press-conference,UPSET,OTHERS
USA,30-05-2020 00:00,Donald Trump,Remarks by President Trump on Actions Against China,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-actions-china/,UPSET,EXTREMISM
China,27-11-2017 00:00,Li Keqiang,Speech by H.E. Li Keqiang Premier of the State Council of The People's Republic of China At the Sixth Summit of Heads of Government of China and Central and Eastern European Countries,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1514725.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,06-06-2018 00:00,Donald Trump,Remarks by President Trump at Signing of the VA Mission Act of 2018,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-signing-va-mission-act-2018/,JOY,NATIONALISM
USA,09-05-2013,Barack Obama,"
Remarks by the President at Applied Materials, Inc. - Austin, TX",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/09/remarks-president-applied-materials-inc-austin-tx,JOY,DEVELOPMENT
Russia,07-07-2005 00:00,Vladimir Putin,Statement in Response to the Terrorist Acts in London,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23085,UPSET,EXTREMISM
China,23-06-2020 00:00,H.E. Wang Yi,Remarks by State Councilor and Foreign Minister Wang Yi At the Video Conference of RIC Foreign Ministers,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1792907.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,24-11-2021 00:00,Joe Biden,Statement from President Joe Biden on Unemployment Insurance Claims,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/24/statement-from-president-joe-biden-on-unemployment-insurance-claims/,OPTIMISM,DEVELOPMENT
Russia,19-05-2007,Vladimir Putin,Speech at the Reception in Honour of the Reunification of the Russian Orthodox Church,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24266,JOY,OTHERS
USA,08-10-2021 00:00,Joe Biden,Statement of President Joe Biden on Signing HAVANA Act Into Law,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/10/08/statement-of-president-joe-biden-on-signing-havana-act-into-law/,JOY,OTHERS
USA,27-06-2013,Barack Obama,"
Remarks by President Obama After Tour of Maison Des Esclaves",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/06/27/remarks-president-obama-after-tour-maison-des-esclaves,JOY,OTHERS
Russia,20-03-2000,Vladimir Putin,Press Statement on Arrival in Grozny,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24187,OPTIMISM,OTHERS
USA,26-05-2021 00:00,Joe Biden,Statement of President Joe Biden on the Mass Shooting in San Jose,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/26/statement-of-president-joe-biden-on-the-mass-shooting-in-san-jose/,UPSET,EXTREMISM
USA,20-02-2016,Barack Obama,"
WEEKLY ADDRESS: A New Chapter with Cuba",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/02/20/weekly-address-new-chapter-cuba,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,19-06-2015,Vladimir Putin,Meeting with heads of major foreign companies and business associations,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/49739,NEUTRAL,DEVELOPMENT
USA,26-10-2017 00:00,Donald Trump,Remarks by President Trump on Combatting Drug Demand and the Opioid Crisis,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-combatting-drug-demand-opioid-crisis/,UPSET,OTHERS
USA,13-07-2013,Barack Obama,"
Weekly Address: Strengthening our Economy by Passing Bipartisan Immigration Reform",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/13/weekly-address-strengthening-our-economy-passing-bipartisan-immigration-,JOY,DEVELOPMENT
China,14-11-2019 00:00,H.E. Xi Jinping,Together for a New Chapter in BRICS Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1716044.shtml,JOY,NATIONALISM
China,27-06-2016 00:00,Li Keqiang,Li Keqiang's speech at Summer Davos opening ceremony,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1376211.shtml,NEUTRAL,DEVELOPMENT
Russia,26-03-2020,Vladimir Putin,G20 Summit,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/63070,NEUTRAL,DEVELOPMENT
United Kingdom,22-Mar-20,Boris Johnson,PM Mother's Day words: 22 March 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-mothers-day-words-22-march-2020,OPTIMISM,OTHERS
Russia,05-07-2008 00:00,Dmitry Medvedev,Speech at Inauguration Ceremony as President of Russia,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1,OPTIMISM,OTHERS
Russia,08-12-2018 00:00,Vladimir Putin,Statement by Vladimir Putin following the Fifth Caspian Summit,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/58297,NEUTRAL,INTERNATIONAL AFFAIRS
USA,17-03-2021 00:00,Joe Biden,Statement by President Biden Applauding House Passage of Paycheck Protection Program Extension,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/17/statement-by-president-biden-applauding-house-passage-of-paycheck-protection-program-extension/,OPTIMISM,DEVELOPMENT
United Kingdom,31-Oct-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 31 October 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-31-october-2020,OPTIMISM,DEVELOPMENT
Russia,25-11-2002,Vladimir Putin,Speech at a Meeting with the Media and State Duma Deputies,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21788,NEUTRAL,OTHERS
China,30-11-2015 00:00,Xi Jinping,"Work Together to Build a Win-Win, Equitable and Balanced Governance Mechanism on Climate Change",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1321560.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,25-01-2014,Barack Obama,"
Weekly Address: Taking Action to End Sexual Assault",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/01/25/weekly-address-taking-action-end-sexual-assault,NEUTRAL,OTHERS
USA,13-02-2018 00:00,Donald Trump,Remarks by President Trump at National Sheriffs’ Association Roundtable,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-national-sheriffs-association-roundtable/,OPTIMISM,DEVELOPMENT
China,09-09-2013 00:00,Li Keqiang,Li Keqiang:China Will Stay The Course On Sustainable Growth,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1074346.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,22-02-2006,Vladimir Putin,Speech at an Evening Celebrating Defenders of the Fatherland Day,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23450,JOY,NATIONALISM
Russia,05-09-2010 00:00,Dmitry Medvedev,Speech at the Military Parade to Commemorate the 65th Anniversary of Victory in the Great Patriotic War of 1941–1945,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/7685,JOY,NATIONALISM
Russia,15-09-2006,Vladimir Putin,Beginning of Meeting on Fighting Economic Crime,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23795,UPSET,DEVELOPMENT
United Kingdom,18-Nov-20,Boris Johnson,Prime Minister's article in the Financial Times: 18 November 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-article-in-the-financial-times-18-november-2020,OPTIMISM,DEVELOPMENT
USA,17-04-2014,Barack Obama,"
Remarks by the President Welcoming the Wounded Warrior Project's Soldier Ride",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/04/17/remarks-president-welcoming-wounded-warrior-projects-soldier-ride,JOY,NATIONALISM
USA,10-11-2021 00:00,Joe Biden,Remarks by President Biden at the Memorial of Former Delaware Governor Ruth Ann Minner,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/10/remarks-by-president-biden-at-the-memorial-of-former-delaware-governor-ruth-ann-minner/,JOY,OTHERS
Russia,19-04-2005,Vladimir Putin,Introductory Remarks at Meeting of the State Council Presidium,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22919,NEUTRAL,DEVELOPMENT
Russia,02-07-2006 00:00,Vladimir Putin,Speech at a Meeting of the Board of the Federal Security Service (FSB),President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23418,NEUTRAL,OTHERS
USA,26-01-2015,Barack Obama,"
Remarks by President Obama at U.S.-India Business Council Summit",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/01/26/remarks-president-obama-us-india-business-council-summit,JOY,INTERNATIONAL AFFAIRS
USA,15-05-2013,Barack Obama,"
Remarks by the President at the National Peace Officers Memorial Service",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/15/remarks-president-national-peace-officers-memorial-service,JOY,OTHERS
United Kingdom,23-Nov-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 23 November 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-23-november-2020,OPTIMISM,DEVELOPMENT
USA,10-11-2014,Barack Obama,"
Remarks by the President Before TPP Meeting",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/10/remarks-president-tpp-meeting,OPTIMISM,DEVELOPMENT
Russia,29-06-2010,Dmitry Medvedev,Meeting with Government members and Federal Assembly Speakers on budget policy for 2011–2013,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/8193,OPTIMISM,DEVELOPMENT
Russia,28-03-2003,Vladimir Putin,Opening Remarks at a Meeting with Representatives of State Duma Factions and Groups,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21949,UPSET,INTERNATIONAL AFFAIRS
Russia,26-08-2008,Dmitry Medvedev,Statement by President of Russia Dmitry Medvedev,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1222,UPSET,INTERNATIONAL AFFAIRS
Russia,30-06-2020,Vladimir Putin,Address to the nation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/63584,NEUTRAL,OTHERS
USA,06-12-2016,Barack Obama,"
Remarks by the President on the Administration's Approach to Counterterrorism",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/12/06/remarks-president-administrations-approach-counterterrorism,JOY,EXTREMISM
USA,30-07-2021 00:00,Joe Biden,Statement by President Joe Biden on Eviction Prevention Efforts and Emergency Rental Assistance,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/30/statement-by-president-joe-biden-on-eviction-prevention-efforts/,NEUTRAL,OTHERS
Russia,30-11-2015,Vladimir Putin,Conference of the Parties to the UN Framework Convention on Climate Change,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/50812,OPTIMISM,DEVELOPMENT
USA,15-09-2016,Barack Obama,"
Remarks by the President at Our Ocean Conference",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/15/remarks-president-our-ocean-conference,OPTIMISM,DEVELOPMENT
USA,05-09-2015,Barack Obama,"
Weekly Address: This Labor Day, Lets Talk About the Budget",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/05/weekly-address-labor-day-lets-talk-about-budget,NEUTRAL,DEVELOPMENT
United Kingdom,31-Jan-20,Boris Johnson,PM address to the nation: 31 January 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-address-to-the-nation-31-january-2020,OPTIMISM,NATIONALISM
USA,11-04-2015,Barack Obama,"
Remarks by President Obama at the First Plenary Session of the Summit of the Americas",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/11/remarks-president-obama-first-plenary-session-summit-americas,OPTIMISM,DEVELOPMENT
USA,15-04-2015,Barack Obama,"
Remarks by the President Before Meeting with West African Leaders on Ebola",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/15/remarks-president-meeting-west-african-leaders-ebola,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,16-02-2006,Vladimir Putin,Opening Remarks at State Council Presidium Meeting on Information and Communication Technology in the Russian Federation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23438,NEUTRAL,DEVELOPMENT
USA,31-10-2013,Barack Obama,"
Remarks by the President at SelectUSA Investment Summit",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/10/31/remarks-president-selectusa-investment-summit,NEUTRAL,OTHERS
USA,14-06-2016,Barack Obama,"
Remarks by the President After Counter-ISIL Meeting",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/06/14/remarks-president-after-counter-isil-meeting,NEUTRAL,INTERNATIONAL AFFAIRS
USA,04-07-2013,Barack Obama,"
Weekly Address: Celebrating Independence Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/04/weekly-address-celebrating-independence-day,JOY,NATIONALISM
USA,07-08-2013,Barack Obama,"
Remarks by the President at Camp Pendleton, CA",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/08/07/remarks-president-camp-pendleton-ca,NEUTRAL,OTHERS
USA,11-11-2021 00:00,Joe Biden,Remarks by President Biden at the National Veterans Day Observance,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/11/remarks-by-president-biden-at-the-national-veterans-day-observance/,OPTIMISM,NATIONALISM
Russia,09-07-2001 00:00,Vladimir Putin,Opening Address at a Meeting with Regional Governors of the Southern Federal District,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21324,OPTIMISM,OTHERS
Russia,20-10-2016,Vladimir Putin,Statement for the press following visit to Berlin,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/53128,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,13-01-2001,Vladimir Putin,Opening Remarks at a Meeting with Russian Media Executives,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21162,NEUTRAL,OTHERS
USA,28-07-2021 00:00,Joe Biden,Statement of President Joe Biden on the Passing of Former Wyoming Senator Mike Enzi,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/28/statement-of-president-joe-biden-on-the-passing-of-former-wyoming-senator-mike-enzi/,UPSET,OTHERS
China,25-05-2021 00:00,H.E. Wang Yi,"Staying Open and Inclusive and Upholding Multilateralism:
Toward a Community with a Shared Future for Mankind",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1878725.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,18-02-2010,Dmitry Medvedev,Dmitry Medvedev took part in an expanded format meeting of Interior Ministry Board,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/6909,OPTIMISM,DEVELOPMENT
Russia,02-12-2015 00:00,Vladimir Putin,Normandy format talks,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/47664,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,18-07-2014,Vladimir Putin,Meeting on economy began with a moment of silence in honour of victims of plane crash over Ukrainian territory,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/46243,UPSET,INTERNATIONAL AFFAIRS
Russia,26-04-2006,Vladimir Putin,Concluding Remarks at Meeting on Social and Economic Development in the Siberian Federal District,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23557,OPTIMISM,DEVELOPMENT
USA,20-07-2021 00:00,Joe Biden,Message to the Congress on the Continuation on the Continuation of the National Emergency with Respect to Mali,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/20/a-letter-on-the-continuation-of-the-national-emergency-with-respect-to-mali/,OPTIMISM,OTHERS
USA,15-09-2021 00:00,Joe Biden,Statement by President Biden on 2.8 Million Americans Gaining Health Care in the 2021 Special Enrollment Period,President,Joe Biden,https://www.whitehouse.gov/briefing-room/stataements-releases/2021/09/15/statement-by-president-biden-on-2-8-million-americans-gaining-health-care-in-the-2021-special-enrollment-period/,OPTIMISM,DEVELOPMENT
China,02-07-2019 00:00,Li Keqiang,"Address by H.E. Li Keqiang
Premier of the State Council of
The People's Republic of China
At the Opening Ceremony of
The Annual Meeting of the New Champions 2019",Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1678405.shtml,NEUTRAL,DEVELOPMENT
China,14-10-2014 00:00,Li Keqiang,Achieving Common and Inclusive Development Through Innovation,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1202857.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,07-08-2015,Barack Obama,"
Remarks by the President at Signing of the Sawtooth National Recreation Area and Jerry Peak Wilderness Additions Act",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/08/07/remarks-president-signing-sawtooth-national-recreation-area-and-jerry,OPTIMISM,DEVELOPMENT
USA,25-03-2014,Barack Obama,"
Remarks by President Obama at Closing Session of the Nuclear Security Summit",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/03/25/remarks-president-obama-closing-session-nuclear-security-summit,NEUTRAL,DEVELOPMENT
China,15-02-2020 00:00,H.E. Wang Yi,Bringing the East and West Together In Shared Commitment to Multilateralism,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1745384.shtml,OPTIMISM,NATIONALISM
USA,31-10-2015,Barack Obama,"
Weekly Address: It’s Time To Reform our Criminal Justice System",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/10/31/weekly-address-its-time-reform-our-criminal-justice-system,JOY,DEVELOPMENT
USA,19-10-2015,Barack Obama,"
Remarks by the President at Roundtable with Business Leaders",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/10/19/remarks-president-roundtable-business-leaders,JOY,DEVELOPMENT
Russia,20-09-2003,Vladimir Putin,Opening Remarks at the United Russia Party’s Third Congress,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22120,NEUTRAL,OTHERS
China,09-10-2019 00:00,Li Keqiang,"Remarks by H.E. Li Keqiang
Premier of the State Council of the People's Republic of China
At the Closing Ceremony of
The International Horticultural Exhibition 2019 Beijing China",Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1706851.shtml,OPTIMISM,DEVELOPMENT
USA,27-04-2013,Barack Obama,"
Weekly Address: Time to Replace the Sequester with a Balanced Approach to Deficit Reduction",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/27/weekly-address-time-replace-sequester-balanced-approach-deficit-reductio,NEUTRAL,DEVELOPMENT
Russia,27-06-2006,Vladimir Putin,Speech at Meeting with the Ambassadors and Permanent Representatives of the Russian Federation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23669,NEUTRAL,INTERNATIONAL AFFAIRS
USA,29-10-2014,Barack Obama,"
Remarks by the President on American Health Care Workers Fighting Ebola",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/10/29/remarks-president-american-health-care-workers-fighting-ebola,UPSET,INTERNATIONAL AFFAIRS
USA,21-03-2021 00:00,Joe Biden,Statement by President Biden on Turkey’s Withdrawal from the Istanbul Convention,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/21/statement-by-president-biden-on-turkeys-withdrawal-from-the-istanbul-convention/,UPSET,INTERNATIONAL AFFAIRS
Russia,18-05-2005,Vladimir Putin,Opening Speech with Senior Members of the Council of the Federation and the Leaders of State Duma Factions,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22979,NEUTRAL,OTHERS
USA,07-11-2017 00:00,Donald Trump,"Remarks by President Trump to the National Assembly of the Republic of Korea | Seoul, Republic of Korea",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-national-assembly-republic-korea-seoul-republic-korea/,JOY,INTERNATIONAL AFFAIRS
USA,12-10-2013,Barack Obama,"
Weekly Address: Let’s Get Back to the Work of the American People",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/10/12/weekly-address-lets-get-back-work-american-people,OPTIMISM,NATIONALISM
United Kingdom,06-Dec-11,David Cameron,PM's speech to service personnel returning from Libya,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pms-speech-to-service-personnel-returning-from-libya,JOY,OTHERS
Russia,12-06-2018 00:00,Vladimir Putin,Meeting of the Supreme Eurasian Economic Council,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/59319,OPTIMISM,DEVELOPMENT
China,07-05-2015 00:00,H.E. Wang Yi,EU and China strategic partners for long run,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1262769.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,10-05-2013,Barack Obama,"
Remarks by the President on the Affordable Care Act",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/10/remarks-president-affordable-care-act,NEUTRAL,DEVELOPMENT
China,28-03-2015 00:00,Xi Jinping,Full text of Chinese President's speech at Boao Forum for Asia,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1250690.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,18-06-2002,Vladimir Putin,Remarks at a Meeting with Delegates to the All-Russia Conference “The Media Industry: Reforms”,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21647,OPTIMISM,DEVELOPMENT
USA,08-11-2014,Barack Obama,"
Weekly Address: This Veterans' Day, Let's Honor Our Veterans",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/08/weekly-address-veterans-day-lets-honor-our-veterans,JOY,OTHERS
USA,13-04-2016,Barack Obama,"
Statement by the President on Progress in the Fight Against ISIL",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/04/13/statement-president-progress-fight-against-isil,UPSET,EXTREMISM
USA,16-05-2013,Barack Obama,"
Remarks by the President After Meeting on Sexual Assault in the Military",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/16/remarks-president-after-meeting-sexual-assault-military,NEUTRAL,OTHERS
USA,01-02-2014,Barack Obama,"
Weekly Address: Restoring Opportunity for All",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/02/01/weekly-address-restoring-opportunity-all,OPTIMISM,DEVELOPMENT
Russia,20-03-2003,Vladimir Putin,Statement on Iraq at a Kremlin Meeting,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21942,UPSET,INTERNATIONAL AFFAIRS
Russia,09-02-2005 00:00,Vladimir Putin,"Beginning of Meeting with Residents of Beslan who Suffered in the Terrorist Act of September 1–3, 2004",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23152,UPSET,EXTREMISM
China,30-03-2018 00:00,H.E. Wang Yi,Remarks by H.E. Wang Yi State Councilor and Minister of Foreign Affairs of The People's Republic of China at the GMS Business Summit,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1546907.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,22-02-2005,Vladimir Putin,Closing Remarks at State Council Presidium Meeting on the Situation in and Development Prospects for the Aircraft Manufacturing Industry,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22838,OPTIMISM,DEVELOPMENT
Russia,28-10-2002,Vladimir Putin,Opening Remarks at a Meeting with the Cabinet,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21761,UPSET,EXTREMISM
USA,06-02-2020 00:00,Donald Trump,Remarks by President Trump at the 68th Annual National Prayer Breakfast,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-68th-annual-national-prayer-breakfast/,OPTIMISM,DEVELOPMENT
USA,10-11-2021 00:00,Joe Biden,Statement by President Biden on Today’s Economic News,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/10/statement-by-president-biden-on-todays-economic-news/,OPTIMISM,DEVELOPMENT
USA,21-12-2013,Barack Obama,"
Weekly Address: Working Together on Behalf of the American People",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/12/21/weekly-address-working-together-behalf-american-people,JOY,OTHERS
USA,07-05-2018 00:00,Donald Trump,Remarks by President Trump at the Launch of the First Lady’s Initiatives,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-launch-first-ladys-initiatives/,JOY,OTHERS
